languages_used,index_numbers,mixed_clip_filename,transcripts,utterance_ids,total_duration
"hi, hi, hi, hi, ne-NP, hi","109, 4405, 405, 2543, 20, 3435",mixed_clip_1.wav,वह थोड़ी ताज़ा हवा खाने के लिए बाहर गया। | तुर्की: पूर्व एयर फोर्स चीफ ने कबूला- तख्तापलट की साजिश की थी | यह सब क्या है? | टॉम का फ़ोन बजा। | नानिले टिठलाग्दा कुरा गरिन् । | आसमान बादल-बादल हो गया।,"0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",19.008000000000003
"hi, hi, hi, hi, hi","142, 1812, 670, 3404, 3836",mixed_clip_2.wav,"मैं खाता हूँ। | किसान आंदोलन पर गंभीरता से ध्यान दे महाराष्ट्र सरकार: अन्ना हजारे | FilmWrap: इंडियन आइडल में हुई हिमेश की एंट्री, रणदीप हुड्डा को लगी चोट | यह तो कोई भी कर सकता है। | वह एक बार में घंटो के लिए लिख सकता है।","0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",21.024
"hi, hi, hi, hi","208, 3093, 717, 2681",mixed_clip_3.wav,"ख़रीदो या न ख़रीदो तुम्हारे ऊपर है। | भारत में रहने के दौरान मेरे पास पैसे खतम हो गए। | ""अभी कितने बजे हैं?"" ""तीन बीस बजे हैं"" | Kapil Sharma Show: जब पहलाज निहलानी की फियांसे ने शत्रुघ्न सिन्हा का लिया ऑटोग्राफ","0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",18.216
"hi, hi, hi","831, 923, 2326",mixed_clip_4.wav,"ब्रिटिश काउंसिल और दिल्ली सरकार में करार, स्किल डेवलपमेंट पर होगा फोकस | राजस्थानः जमीन की लड़ाई लड़ रहे किसानों ने गड्ढों में ऐसे मनाई दिवाली | जब अलास्का में भालू ने किया गंगनम!","0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",18.576
"hi, hi, hi, hi, hi, hi","2497, 2607, 3510, 2043, 3334, 1137",mixed_clip_5.wav,यह ट्रेन बॉस्टन के लिए रवाना हो रही है। | इलाहाबाद में झपटमारों ने छीना महिलाओं का चैन | किस्मत की बात है सलमान के साथ काम करना: दीपिका | लोकसभा चुनाव समय से पहले मुमकिन: गडकरी | आकाश लाल था। | ऐश्वर्या राय और सोनम कपूर कान्स फिल्म फेस्टिवल में लेंगी हिस्सा,"3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",22.428
"hi, hi, hi, ne-NP, ne-NP","3745, 3939, 2385, 68, 6",mixed_clip_6.wav,"उसका बेटा आलसी और निकम्मा है। | ओवरब्रिज पर शुरू हुई लव स्टोरी, मजेदार थी खय्याम की पत्नी से पहली मुलाकात | अमरिंदर ने राजनाथ को लिखी चिट्ठी, पंजाब में राष्ट्रपति शासन की मांग की | अब हेर्न मजा आउने भयो। | आज राती धेरै ठुलो पानी पर्छ होला ।","3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e, 9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e",21.456000000000003
"hi, hi, hi, hi","63, 456, 547, 4383",mixed_clip_7.wav,"वह सापोंं से बिलकुल भी नहीं डरता। | अमेरिका से लौटीं प्रीति जिंटा, फेसबुक पर लिखा- मेरी प्राइवेसी का सम्मान करें | युरोप में कितनी भाषाएँ हैं? | पीसीबी ने जिंबाब्वे वनडे सीरीज के लिए आईपीएल जैसे ग्लैमर का वादा किया","0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",18.972
"ne-NP, hi, hi, hi, hi","59, 727, 2907, 3730, 2161",mixed_clip_8.wav,"यो समुहमा रमाइलो कुरा हुन्छ है। | फ़्रांसीसी मुश्किल भाषा है। | मर्द भी कभी-कबार रोते हैं। | आपके कैंसल टिकट से रेलवे ने कितने हजार करोड़ कमाए, जानिए | जानिए, अनसुलझे सवालों से सनी शीना और इंद्राणी के रिश्तों की कहानी","9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc",20.628
"hi, hi, hi, hi, hi, hi","1140, 3655, 694, 3208, 568, 3424",mixed_clip_9.wav,मुफ्त इंटरनेट पर छिड़ी जंग | उसका बेटा पिछले साल मर गया। | वह अंग्रेज़ी बोलता है क्या? | मुझे वह किताब लौटाने में जल्द-बाज़ी करने की ज़रूरत नहीं है। | वह पुर्त्तगाली है। | मैच के बाद श्रीलंकाई खिलाड़ियों को 'गुरुमंत्र' देते नज़र आए धोनी,"d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",19.872
"hi, hi, hi, hi, hi","3889, 2990, 3115, 3348, 3661",mixed_clip_10.wav,गाजियाबाद: शख्स ने लिव-इन पार्टनर की नाबालिग बेटी से किया बलात्कार | तुम्हारे पास कुछ पैसे नहीं हैं क्या? | वह पियानो बजाना जानती है। | रसोई में जाकर मेरे लिए एक हथौड़ा ले आओगे क्या? | 'जानिसार' फिल्म से डेब्यू करने वाली एक्ट्रेस परनिया कुरैशी का बोल्ड अंदाज,"3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a, 3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a",18.0
