index_no,transcript,utterance_id,duration,language,dataset_name
0,म पनि जान्छु है त अहिले लाई ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,5.328,ne-NP,nepali_16
1,थाहा छैन ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.168,ne-NP,nepali_16
2,म खाना पकाउँदै छु ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.24,ne-NP,nepali_16
3,तिमी हराएर हो नि भाई ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.096,ne-NP,nepali_16
4,"हैन, जर्मनी समुह चरणबाट बहिरिने सम्भावना धेरै देख्छु म त ।",9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,6.048,ne-NP,nepali_16
5,मैले फुकें बाँसुरी ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.06,ne-NP,nepali_16
6,आज राती धेरै ठुलो पानी पर्छ होला ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.6,ne-NP,nepali_16
7,तिमी के के गर्न सक्छौ?,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.96,ne-NP,nepali_16
8,रामुलाई कसैले काका भन्छ कि भन्दैन?,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.708,ne-NP,nepali_16
9,बाटो खास्सै राम्रो त् छैन ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.42,ne-NP,nepali_16
10,नतिजा आफ्नो पोल्टामा परेन ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.276,ne-NP,nepali_16
11,यस्ता समस्याहरु चाडै समाधान हुन दाइ ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.528,ne-NP,nepali_16
12,"तपाईंलाई मन परेको फिल्म तपाईंका लागि राम्रो, नपरेको नराम्रो ।",9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,5.328,ne-NP,nepali_16
13,सर्भर बन्द भएको रहेछ ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.24,ne-NP,nepali_16
14,"ल केटा, राति बस्नुपर्छ अब एकदिन ।",9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,4.32,ne-NP,nepali_16
15,अब हेर्न मजा आउने भयो।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.168,ne-NP,nepali_16
16,धेरै फिलिम हेर्न पनि हुदैँन ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.6,ne-NP,nepali_16
17,साथी तिमी बेनी बजार गएको छौ?,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,4.248,ne-NP,nepali_16
18,प्रतियोगिताको तुल पढेपछि टोम्मी रिसी रिक्सा अनि टेक टुक् टुक् भेट्न उत्निखेरै हिँड्यो ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,9.288,ne-NP,nepali_16
19,हामी सबै मिलेर गरे पक्का पनि सकिन्छ ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.78,ne-NP,nepali_16
20,को को के के गर्दै हनुहुन्छ?,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.24,ne-NP,nepali_16
21,मलाई बाबालाई फोन गर्न याद दिलाउ है ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.996,ne-NP,nepali_16
22,यता नजिक कुनै जुत्ता पसल छ त?,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.708,ne-NP,nepali_16
23,राम्रो खेल खेल्नेले ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.06,ne-NP,nepali_16
24,कहीं नभा जात्रा हाँडीगाउमा ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.06,ne-NP,nepali_16
25,"रमाइलो भयो भन्छन्, सबै जना साथी ।",9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.996,ne-NP,nepali_16
26,"गोल्भेडाको अचार, थपी दिनुस् है ।",9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.888,ne-NP,nepali_16
27,भित्ताको पनि कान हुन्छ,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.42,ne-NP,nepali_16
28,अनि यस्को आकार पनि सुपारीको जस्तै हुन्छ ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,4.176,ne-NP,nepali_16
29,स्पेनको समर्थन गर्दै हो म त ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.816,ne-NP,nepali_16
30,अाजको तापक्रम कति छ होला?,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,4.14,ne-NP,nepali_16
31,तँ र बिक्रम बौद्द गएको थियौ हैन?,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,4.68,ne-NP,nepali_16
32,जनतालाई स्रोतसाधनबाट बाहिर राखे ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,4.788,ne-NP,nepali_16
33,मलाई अलि अलि रुघा लागिरहेको छ ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,4.248,ne-NP,nepali_16
34,अधिकांश ठाउँ बिक्रीमा भएकाले खुला स्थानको माग बढी छ ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,5.796,ne-NP,nepali_16
35,"नेपाल, एक दक्षिण एसियाली भूपरिवेष्ठित हिमाली राष्ट्र हो ।",9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,6.336,ne-NP,nepali_16
36,ढिँडो ओडल्या हो कि के हो?,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.42,ne-NP,nepali_16
37,मैले महसुस गरेँ ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.456,ne-NP,nepali_16
38,रात गए अग्राख पलाउँछ,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.456,ne-NP,nepali_16
39,फिल्म खालि हिरो र हिरोइन गीत द्वन्द्व र ग्लसी दृश्यले चल्दैन ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,8.028,ne-NP,nepali_16
40,गर्न थाल्छ म्याँ–म्याँ ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.456,ne-NP,nepali_16
41,अहिले आएर इरानले पनि सोही घोषणा गरेको हो ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,4.32,ne-NP,nepali_16
42,अल्ली सेलाको हो कि?,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,2.988,ne-NP,nepali_16
43,"हुन त, सिक्न खोजेको धेरै भयो।",9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,3.6,ne-NP,nepali_16
44,हामी सबैलाई बधाइ छ है ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,2.916,ne-NP,nepali_16
45,नेपाली भाषालाई हामी सबैले माया गरौँ।,9f8a47cee5574b287a8f93f5498d81115cf1dfbd718ead4f2265e4400f7de0f017a58a2c8c1245e0d3ceeccffa5b110322c4f784aa8a9785e3219557cb44395e,4.176,ne-NP,nepali_16
