index_no,transcript,utterance_id,duration,language,dataset_name
0,हमने उसका जन्मदिन मनाया।,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,4.068,hi,hindi
1,"साउथ दिल्ली नगर निगम सख्त, शॉपिंग मॉल के बाहर नहीं दिखेंगे होर्डिंग",0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,7.524,hi,hindi
2,उत्तर कोरिया ने अमेरिका को दी हमले की धमकी,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,6.084,hi,hindi
3,अगले कमरे में अनेक रोमन मूर्तियाँ हैं।,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,5.184,hi,hindi
4,तुम ने टॉम को कहाँ भेज दिया?,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,4.716,hi,hindi
5,सर्दोयों के आने से दिन छोटे होते जाते हैं।,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,5.328,hi,hindi
6,मुझे और वक़्त दो।,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,3.636,hi,hindi
7,"कंगना के वकील ने कहा, पुलिस ने किसी लैपटॉप की डिमांड नहीं की है",0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,7.632,hi,hindi
8,क्या सवाल है!,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,3.744,hi,hindi
9,वह भारत और चीन दोनो में बहुत मशहूर है।,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,5.148,hi,hindi
10,वह अच्छा राजा था।,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,3.096,hi,hindi
11,ग्रेटर नोएडा में बदमाशों ने इंजीनियर को उसकी ही कार में किया अगवा,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,6.696,hi,hindi
12,"संसद का शीतकालीन सत्र शुरू, पीएम मोदी ने विपक्ष से मांगा सहयोग",0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,7.02,hi,hindi
13,गुजरात कांग्रेस की सरदार संदेश यात्रा संपन्न,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,5.328,hi,hindi
14,मकर संक्राति पर एमएनएस ने उगली नफरत की आग,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,6.228,hi,hindi
15,यूनिफॉर्म सिविल कोड से जुड़ी याचिकाओं पर सुनवाई नवंबर तक टली,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,6.084,hi,hindi
16,कबीर सिंह में ये एक्टर निभाएगा शाहिद के बड़े भाई का रोल,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,5.94,hi,hindi
17,दुनिया की सबसे बड़ी दुरबीन कैनरी द्वीप समूह पर है।,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,5.616,hi,hindi
18,पहाड़ी प्रदेश में सेहत का राज,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,3.564,hi,hindi
19,बकवास।,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,3.42,hi,hindi
20,"जब भी में यह फोटो देखती हूँ, मुझे मेरे पिता की याद आती है।",0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,6.552,hi,hindi
21,करण वाही की गर्लफ्रेंड ने इंस्टा पर किया अपने रिश्ते का खुलासा,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,6.156,hi,hindi
22,आखिरकार हमे सच्चाई का पता चल गया।,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,5.004,hi,hindi
23,मेरे पास एक बंदूक है।,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,3.312,hi,hindi
24,"नाल्को अध्यक्ष गिरफ्तार, लॉकर में मिली सोने की ईंटें",0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,6.624,hi,hindi
25,"मैग्सेसे अवॉर्डी संदीप पांडे का आरोप, पुलिस ने किया नजरबंद",0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,7.308,hi,hindi
26,मैं चाय भी पीती हूँ।,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,3.528,hi,hindi
27,'...अल्पसंख्यकों को छला गया'...तो क्या ऐसे होगा छल में छेद!,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,8.244,hi,hindi
28,क्या आप मेरे भाई मासाओ से मिले हैं?,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,5.544,hi,hindi
29,तमिलनाडु में बच्चों की तस्करी के रैकेट का खुलासा,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,5.796,hi,hindi
30,तुम्हे कल आना चाहिए था।,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,3.672,hi,hindi
