index_no,transcript,utterance_id,duration,language,dataset_name
0,अहिलेसम्म बैज्ञानिकहरुले प्रतिपादन गरेका कुनै सिद्धान्त लागु नहुने संसार ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,8.388,ne-NP,nepali
1,म त दोधारमा परे ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,3.204,ne-NP,nepali
2,दाजुहरू को खबर खाबर के छ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,4.14,ne-NP,nepali
3,खाजा खाने बेला भयो कति बेर कुर्ने?,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,5.22,ne-NP,nepali
4,किनभने तपाईंको कार एकदम कन्डिसनमा छ ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,4.932,ne-NP,nepali
5,अाज धेरै पछि ढिडो खाइयो ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,3.816,ne-NP,nepali
6,ल बधाई छ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,2.124,ne-NP,nepali
7,हो खुलामञ्चमा डोजर चल्नुपर्थ्यो तर प्रक्रिया पुर्याएर ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,5.04,ne-NP,nepali
8,आकाश मा घना बादल छ ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,3.708,ne-NP,nepali
9,के जापान को समर्थन गर्ने म मात्रै हो त?,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,3.924,ne-NP,nepali
10,के मा व्यस्त हुनुहुन्छ रोशन जी?,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,3.348,ne-NP,nepali
11,पाचौँ सेमेस्टरको परीक्षा पछि फेरि हाम्रो परीक्षा अाउला नि ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,5.256,ne-NP,nepali
12,मैले त आज धेरै कुरा सिके नि!,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,2.916,ne-NP,nepali
13,दाजुहरू सबैलाई नमस्कार है ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,3.42,ne-NP,nepali
14,साना–साना गोडाहरू आफैँ चाल्छु म ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,4.32,ne-NP,nepali
15,यसरी पानी परिराख्दा कतै नराम्रो पो हुने हो कि भन्ने डर लागि रहन्छ ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,5.472,ne-NP,nepali
16,धेरै पनि खान हुन्न है ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,2.556,ne-NP,nepali
17,चैतमा अइसेलु फल्छ!,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,3.42,ne-NP,nepali
18,भित्री मन देखि दुःख लागिराछ आज!,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,4.14,ne-NP,nepali
19,ध्यान पुर्याएर खेल्दा खुट्टा नफर्केला दाइ ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,3.564,ne-NP,nepali
20,नानिले टिठलाग्दा कुरा गरिन् ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,2.988,ne-NP,nepali
21,"भाइ, एउटा चुट्किला भन त ।",b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,3.06,ne-NP,nepali
22,मैले चै कुखुराको अण्डा र आलु बनाए।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,3.528,ne-NP,nepali
23,रीट जारी भएसंगै चन्द रिहा भएका छन् ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,3.78,ne-NP,nepali
24,"धेरै छ गर्नु,छोटो जीवन ।",b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,2.736,ne-NP,nepali
25,सुमनले यो शोषण साढे एक वर्षसम्म सहे ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,5.184,ne-NP,nepali
26,धेरै लामो वाक्य चै नलेखौ है ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,4.536,ne-NP,nepali
27,मेरो सानो मुने ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,2.628,ne-NP,nepali
28,वानेश्वरमा पनि पानी पर्न थाल्यो अब।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,4.068,ne-NP,nepali
29,यदि कसैको क्याम्पसमा कार्यक्रम गर्न मिल्ने छ भने भन्नु है ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,5.724,ne-NP,nepali
30,बोल्न त आउँछ लेख्न भनन बरु।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,3.996,ne-NP,nepali
31,मेरो घर चितवन हो ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,2.412,ne-NP,nepali
32,गर्नु पर्ने काम धेरै छ ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,2.988,ne-NP,nepali
33,हाम्रो वाक्यहरू गयो त?,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,2.808,ne-NP,nepali
34,पोखरातिर त यति धेरै धुलो छैन होला है?,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,4.716,ne-NP,nepali
35,सुरुवात चाँही हजुरबाट नै गरौ न त ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,4.356,ne-NP,nepali
36,के गर्छौ?,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,2.34,ne-NP,nepali
37,केटाहरूसँग कुराकानी गरेँ ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,3.6,ne-NP,nepali
38,दाईलाई फोन हान ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,2.664,ne-NP,nepali
39,बाइरोड को बाटो त घुम्ती नै घुम्ती भाको छ ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,4.716,ne-NP,nepali
40,आज मज्जाले घाम लागेको छ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,4.248,ne-NP,nepali
41,दाजुले मलाई सिकाउनु पर्यो नेपाली बोल्न ।,b04876941eb74a0d7971c73e1d6d2101f02d13c2134e7af8e89454473adcacbaa9511a8616ff377aa7683e3f7ed35325d9f4d5ee12ad49f61dd1513aca8bb628,4.824,ne-NP,nepali
